Timestamp,Control Mode,Alarm Summary,Gen Available LED,Breaker LED,Warning Flags
2025-10-17T12:50:26.193492,0,Error,0,0,Error
2025-10-17T12:50:28.215134,0,Error,0,0,Error
2025-10-17T12:50:30.240763,0,Error,0,0,Error
2025-10-17T12:50:32.254008,0,Error,0,0,Error
2025-10-17T12:50:34.274901,0,Error,0,0,Error
2025-10-17T12:50:36.298303,0,Error,0,0,Error
2025-10-17T12:50:38.321895,0,Error,0,0,Error
2025-10-17T12:50:40.322048,0,Error,0,0,Error
2025-10-17T12:50:42.334202,0,Error,0,0,Error
2025-10-17T12:50:44.342387,0,Error,0,0,Error
2025-10-17T12:50:46.356868,0,Error,0,0,Error
2025-10-17T12:50:48.379032,0,Error,0,0,Error
2025-10-17T12:50:50.436091,0,Error,0,0,Error
2025-10-17T12:50:52.448815,0,Error,0,0,Error
2025-10-17T12:50:54.482335,0,Error,0,0,Error
2025-10-17T12:50:56.510987,0,Error,0,0,Error
2025-10-17T12:50:58.520995,0,Error,0,0,Error
2025-10-17T12:51:00.527206,0,Error,0,0,Error
2025-10-17T12:51:02.534486,0,Error,0,0,Error
2025-10-17T12:51:04.549326,0,Error,0,0,Error
2025-10-17T12:51:06.557507,0,Error,0,0,Error
2025-10-17T12:51:08.568516,0,Error,0,0,Error
2025-10-17T12:51:10.589463,0,Error,0,0,Error
2025-10-17T12:51:12.599189,0,Error,0,0,Error
2025-10-17T12:51:14.617269,0,Error,0,0,Error
2025-10-17T12:51:16.646783,0,Error,0,0,Error
2025-10-17T12:51:18.658124,0,Error,0,0,Error
2025-10-17T12:51:20.665943,0,Error,0,0,Error
2025-10-17T12:51:22.681542,0,Error,0,0,Error
2025-10-17T12:51:24.693438,0,Error,0,0,Error
2025-10-17T12:51:26.715856,0,Error,0,0,Error
2025-10-17T12:51:28.735861,0,Error,0,0,Error
2025-10-17T12:51:30.745185,0,Error,0,0,Error
2025-10-17T12:51:32.763971,0,Error,0,0,Error
2025-10-17T12:51:34.788162,0,Error,0,0,Error
2025-10-17T12:51:36.808458,0,Error,0,0,Error
2025-10-17T12:51:38.823504,0,Error,0,0,Error
2025-10-17T12:51:40.856197,0,Error,0,0,Error
2025-10-17T12:51:42.874554,0,Error,0,0,Error
2025-10-17T12:51:44.880260,0,Error,0,0,Error
2025-10-17T12:51:46.883880,0,Error,0,0,Error
2025-10-17T12:51:48.894209,0,Error,0,0,Error
2025-10-17T12:51:50.913721,0,Error,0,0,Error
2025-10-17T12:51:52.929322,0,Error,0,0,Error
2025-10-17T12:51:54.938285,0,Error,0,0,Error
2025-10-17T12:51:56.962748,0,Error,0,0,Error
2025-10-17T12:51:58.973013,0,Error,0,0,Error
2025-10-17T12:52:01.015689,0,Error,0,0,Error
2025-10-17T12:52:03.026112,0,Error,0,0,Error
2025-10-17T12:52:05.043076,0,Error,0,0,Error
2025-10-17T12:52:07.060104,0,Error,0,0,Error
2025-10-17T12:52:09.071248,0,Error,0,0,Error
2025-10-17T12:52:11.087527,0,Error,0,0,Error
2025-10-17T12:52:13.119470,0,Error,0,0,Error
2025-10-17T12:52:15.144393,0,Error,0,0,Error
2025-10-17T12:52:17.149350,0,Error,0,0,Error
2025-10-17T12:52:19.170913,0,Error,0,0,Error
2025-10-17T12:52:21.186474,0,Error,0,0,Error
2025-10-17T12:52:23.196201,0,Error,0,0,Error
2025-10-17T12:52:25.218958,0,Error,0,0,Error
2025-10-17T12:52:27.222322,0,Error,0,0,Error
2025-10-17T12:52:29.245378,0,Error,0,0,Error
2025-10-17T12:52:31.271401,0,Error,0,0,Error
2025-10-17T12:52:33.283561,0,Error,0,0,Error
2025-10-17T12:52:35.319394,0,Error,0,0,Error
2025-10-17T12:52:37.325413,0,Error,0,0,Error
2025-10-17T12:52:39.351559,0,Error,0,0,Error
2025-10-17T12:52:41.382041,0,Error,0,0,Error
2025-10-17T12:52:43.404333,0,Error,0,0,Error
2025-10-17T12:52:45.406697,0,Error,0,0,Error
2025-10-17T12:52:47.422579,0,Error,0,0,Error
2025-10-17T12:52:49.442828,0,Error,0,0,Error
2025-10-17T12:52:51.461127,0,Error,0,0,Error
2025-10-17T12:52:53.480422,0,Error,0,0,Error
2025-10-17T12:52:55.508219,0,Error,0,0,Error
2025-10-17T12:52:57.534464,0,Error,0,0,Error
2025-10-17T12:52:59.554425,0,Error,0,0,Error
2025-10-17T12:53:01.579645,0,Error,0,0,Error
2025-10-17T12:53:03.600545,0,Error,0,0,Error
2025-10-17T12:53:05.604299,0,Error,0,0,Error
2025-10-17T12:53:07.626525,0,Error,0,0,Error
2025-10-17T12:53:09.659473,0,Error,0,0,Error
2025-10-17T12:53:11.669082,0,Error,0,0,Error
2025-10-17T12:53:13.681314,0,Error,0,0,Error
2025-10-17T12:53:15.689076,0,Error,0,0,Error
2025-10-17T12:53:17.717814,0,Error,0,0,Error
2025-10-17T12:53:19.740361,0,Error,0,0,Error
2025-10-17T12:53:21.769862,0,Error,0,0,Error
2025-10-17T12:53:23.777201,0,Error,0,0,Error
2025-10-17T12:53:25.782073,0,Error,0,0,Error
2025-10-17T12:53:27.794533,0,Error,0,0,Error
2025-10-17T12:53:29.817919,0,Error,0,0,Error
2025-10-17T12:53:31.827889,0,Error,0,0,Error
2025-10-17T12:53:33.833047,0,Error,0,0,Error
2025-10-17T12:53:35.861418,0,Error,0,0,Error
2025-10-17T12:53:37.865100,0,Error,0,0,Error
2025-10-17T12:53:39.877606,0,Error,0,0,Error
2025-10-17T12:53:41.884607,0,Error,0,0,Error
